,position
622,"['CAM', 'CF', 'LM']"
623,"['CM', 'CDM']"
624,"['ST', 'RM']"
625,['GK']
626,"['LW', 'CAM', 'RW', 'LM']"
627,"['CM', 'CDM']"
628,['CB']
629,"['CDM', 'CM']"
630,"['CB', 'CDM']"
631,['ST']
632,"['LB', 'LM', 'CB']"
633,['GK']
634,"['LM', 'LB', 'CM']"
635,"['CM', 'CDM']"
636,['RB']
637,"['CDM', 'CM']"
638,"['LB', 'LM', 'CM']"
639,"['RM', 'CAM', 'RW']"
640,['GK']
641,"['ST', 'RM']"
642,"['CAM', 'RM', 'LM']"
643,['GK']
644,"['ST', 'LW']"
645,['ST']
646,"['CM', 'CDM']"
647,['GK']
648,['RB']
649,"['RM', 'RW', 'CAM']"
650,"['CDM', 'CM']"
651,['ST']
652,['ST']
653,"['CB', 'RB']"
654,"['LB', 'CM']"
655,"['RM', 'LM', 'ST']"
656,['LB']
657,"['RM', 'RW']"
658,['ST']
659,['CB']
660,"['CM', 'CDM']"
661,"['CM', 'CAM', 'LM']"
662,"['CB', 'LB']"
663,"['CB', 'LB']"
664,"['LB', 'LM']"
665,"['CM', 'CDM']"
666,"['LM', 'LW', 'ST']"
667,"['LB', 'LM']"
668,['CM']
669,"['CDM', 'CM']"
670,['LB']
671,['CB']
672,['CB']
673,['LB']
674,"['RM', 'RW', 'LM']"
675,['ST']
676,"['CM', 'CDM']"
677,"['CAM', 'ST']"
678,['CB']
679,"['LM', 'RM', 'CAM']"
680,"['RM', 'ST']"
681,"['LB', 'LWB', 'RB']"
682,['CB']
683,['RM']
684,"['CDM', 'CM']"
685,['ST']
686,['GK']
687,['GK']
688,['CDM']
689,['ST']
690,['GK']
691,['GK']
692,['GK']
693,['CB']
694,['ST']
695,"['RM', 'LM', 'ST']"
696,"['CM', 'CDM']"
697,['ST']
698,['RW']
699,"['RM', 'CM', 'CAM', 'RW']"
700,"['RB', 'RWB']"
701,"['RW', 'CM', 'LW']"
702,['CM']
703,['CB']
704,['ST']
705,"['CDM', 'CM']"
706,['GK']
707,"['CAM', 'CM', 'LM', 'CDM']"
708,['GK']
709,['CDM']
710,"['CAM', 'CM']"
711,['CB']
712,"['CM', 'CDM']"
713,"['LW', 'ST']"
714,"['LW', 'ST']"
715,"['CDM', 'CM']"
716,"['CM', 'CDM']"
717,"['CM', 'CDM', 'CAM']"
718,['ST']
719,"['CM', 'LM', 'CDM', 'CAM']"
720,['CB']
721,"['CAM', 'CM', 'LW']"
722,"['ST', 'RW']"
723,['LM']
724,"['CDM', 'CM']"
725,['ST']
726,['CB']
727,"['ST', 'LM', 'RM']"
728,['RB']
729,['RB']
730,['GK']
731,['RW']
732,['CB']
733,['ST']
734,['ST']
735,"['RM', 'LM', 'RW']"
736,"['CDM', 'CB']"
737,['GK']
738,['GK']
739,['LM']
740,"['CDM', 'CM', 'LM']"
741,"['ST', 'LM', 'RM', 'RW']"
742,"['CB', 'CDM']"
743,"['CM', 'CDM']"
744,"['CB', 'CDM']"
745,"['LW', 'LM']"
746,"['LB', 'LM']"
747,"['CDM', 'CM']"
748,['LM']
749,['RW']
750,['LB']
751,"['LB', 'RB']"
752,"['LM', 'CM', 'LW']"
753,"['LM', 'RM', 'LW']"
754,['GK']
755,['GK']
756,['CB']
757,['LM']
758,['GK']
759,"['CDM', 'CM', 'CAM']"
760,"['ST', 'RW']"
761,"['RB', 'RM']"
762,"['CDM', 'CM']"
763,['LB']
764,"['CB', 'LB']"
765,"['CB', 'LB']"
766,['ST']
767,"['CM', 'RM']"
768,['CB']
769,"['LM', 'RM']"
770,"['ST', 'RM']"
771,['ST']
772,['LB']
773,['CB']
774,['RB']
775,['GK']
776,['GK']
777,['CB']
778,['GK']
779,"['LM', 'LW', 'RM', 'RW']"
780,"['RWB', 'RB', 'RM']"
781,['CB']
782,"['LM', 'CAM', 'RM']"
783,"['LM', 'RM']"
784,['CB']
785,['RB']
786,"['CM', 'CDM']"
787,['CB']
788,['LB']
789,['RB']
790,['GK']
791,['CAM']
792,"['CB', 'LB']"
793,"['LM', 'RM', 'CAM']"
794,"['LM', 'RM']"
795,"['RW', 'LW']"
796,['CAM']
797,['RB']
798,['ST']
799,"['CDM', 'CM']"
800,['GK']
801,['ST']
802,"['CM', 'CDM']"
