,Weight
1830,70kg
1831,73kg
1832,80kg
1833,69kg
1834,64kg
1835,79kg
1836,79kg
1837,71kg
1838,64kg
1839,64kg
1840,72kg
1841,84kg
1842,83kg
1843,84kg
1844,73kg
1845,85kg
1846,86kg
1847,58kg
1848,87kg
1849,71kg
1850,83kg
1851,66kg
1852,81kg
1853,78kg
1854,69kg
1855,77kg
1856,83kg
1857,75kg
1858,83kg
1859,71kg
1860,74kg
1861,73kg
1862,82kg
1863,84kg
1864,80kg
1865,84kg
1866,75kg
1867,75kg
1868,75kg
1869,77kg
1870,72kg
1871,82kg
1872,80kg
1873,75kg
1874,70kg
1875,85kg
1876,77kg
1877,76kg
1878,84kg
1879,87kg
1880,85kg
1881,80kg
1882,86kg
1883,69kg
1884,84kg
1885,74kg
1886,84kg
1887,84kg
1888,86kg
1889,85kg
1890,83kg
1891,82kg
1892,72kg
1893,70kg
1894,80kg
1895,79kg
1896,79kg
1897,66kg
1898,73kg
1899,77kg
1900,82kg
1901,89kg
1902,79kg
1903,75kg
1904,84kg
1905,70kg
1906,78kg
1907,87kg
1908,85kg
1909,78kg
1910,73kg
1911,82kg
1912,81kg
1913,78kg
1914,87kg
1915,76kg
1916,76kg
1917,75kg
1918,70kg
1919,87kg
1920,65kg
1921,66kg
1922,70kg
1923,74kg
1924,69kg
1925,78kg
1926,78kg
1927,70kg
1928,78kg
1929,70kg
1930,83kg
1931,76kg
1932,71kg
1933,76kg
1934,78kg
1935,66kg
1936,66kg
1937,64kg
1938,64kg
1939,88kg
1940,78kg
1941,76kg
1942,83kg
1943,75kg
1944,79kg
1945,73kg
1946,75kg
1947,86kg
1948,83kg
1949,85kg
1950,71kg
1951,84kg
1952,86kg
1953,83kg
1954,77kg
1955,77kg
1956,81kg
1957,73kg
1958,77kg
1959,90kg
1960,77kg
1961,65kg
1962,78kg
1963,75kg
1964,85kg
1965,65kg
1966,75kg
1967,76kg
1968,69kg
1969,79kg
1970,78kg
1971,88kg
1972,88kg
1973,62kg
1974,72kg
1975,76kg
1976,76kg
1977,67kg
1978,74kg
1979,88kg
1980,80kg
1981,82kg
1982,81kg
1983,78kg
1984,86kg
1985,84kg
1986,67kg
1987,73kg
1988,74kg
1989,74kg
1990,77kg
1991,74kg
1992,67kg
1993,79kg
1994,68kg
1995,76kg
1996,79kg
1997,70kg
1998,76kg
1999,78kg
2000,85kg
2001,70kg
2002,76kg
2003,75kg
2004,91kg
2005,72kg
2006,74kg
2007,75kg
2008,75kg
2009,71kg
2010,73kg
2011,68kg
2012,83kg
2013,85kg
2014,72kg
2015,74kg
2016,66kg
2017,85kg
2018,78kg
2019,82kg
2020,84kg
2021,78kg
2022,82kg
2023,72kg
2024,76kg
2025,82kg
2026,85kg
2027,70kg
2028,71kg
2029,69kg
2030,77kg
2031,90kg
2032,65kg
2033,83kg
2034,80kg
2035,79kg
2036,88kg
2037,74kg
2038,78kg
2039,94kg
2040,94kg
2041,71kg
2042,65kg
2043,73kg
2044,81kg
2045,71kg
2046,78kg
2047,77kg
2048,86kg
2049,81kg
2050,66kg
2051,75kg
2052,79kg
2053,73kg
2054,66kg
2055,88kg
2056,69kg
2057,90kg
2058,73kg
2059,82kg
2060,63kg
2061,80kg
2062,72kg
2063,88kg
2064,81kg
2065,77kg
2066,65kg
2067,85kg
2068,69kg
2069,65kg
2070,77kg
2071,72kg
2072,70kg
2073,83kg
2074,87kg
2075,79kg
2076,72kg
